signal,horizon_months,zone,n,mean,median,p10,p90,hit_rate,stddev,full_sample_mean,full_sample_n,mean_diff_vs_full,bootstrap_p
M2_GROWTH,3,LOW,113,0.03351194294146383,0.036629919638420105,-0.032938570894778536,0.10445397920682717,0.7522123893805309,0.0667895233576415,0.025356597795122147,494,0.008155345146341687,0.1875
M2_GROWTH,3,MID,360,0.020810670442992944,0.027546969229952922,-0.08121437882279871,0.10314130465921774,0.6777777777777778,0.07664786405436538,0.025356597795122147,494,-0.0045459273521292025,
M2_GROWTH,3,HIGH,21,0.059403257091784234,0.0577251809132131,-0.01950546543624998,0.12571345224549169,0.8095238095238095,0.05911300276990462,0.025356597795122147,494,0.03404665929666209,0.0315
M2_GROWTH,6,LOW,113,0.06965498834896115,0.06279103109466577,-0.026330612079907147,0.1674339886565872,0.8230088495575221,0.08050988046477797,0.05124279063976102,491,0.018412197709200134,0.0255
M2_GROWTH,6,MID,357,0.04308816957394749,0.05098247526825461,-0.09247072265536585,0.16506721599970064,0.7170868347338936,0.11193894895375602,0.05124279063976102,491,-0.008154621065813529,
M2_GROWTH,6,HIGH,21,0.09079618965670463,0.10905879599331003,-0.09521569907077954,0.18963897011378328,0.8095238095238095,0.11784990055887691,0.05124279063976102,491,0.039553399016943616,0.0755
M2_GROWTH,12,LOW,113,0.1348466796808571,0.1270124278299527,0.008521572416425063,0.2771059808588443,0.9026548672566371,0.10951700441302668,0.10502222120088858,485,0.029824458479968508,0.0195
M2_GROWTH,12,MID,351,0.09429742044414702,0.11772455048983232,-0.13346515572215922,0.28406454045125074,0.7720797720797721,0.16553358405594734,0.10502222120088858,485,-0.010724800756741565,
M2_GROWTH,12,HIGH,21,0.12379561440945264,0.14766935268444836,-0.15924851391322437,0.3861606320225206,0.5714285714285714,0.22095460252628396,0.10502222120088858,485,0.018773393208564054,0.56
MARGIN_M2,3,LOW,19,0.04158631120116071,0.07027218611635622,-0.10463990112956867,0.1495880883611112,0.631578947368421,0.10848206778580137,0.021885349273131616,291,0.01970096192802909,0.209
MARGIN_M2,3,MID,256,0.020033624368426407,0.03009972523992599,-0.07028897958109404,0.10043720760445529,0.69140625,0.07166844670507877,0.021885349273131616,291,-0.001851724904705209,
MARGIN_M2,3,HIGH,16,0.02811805545888043,0.03119335303792692,-0.04165147573914785,0.07846147636724743,0.75,0.0486493327482489,0.021885349273131616,291,0.006232706185748813,0.714
MARGIN_M2,6,LOW,19,0.10140341556896196,0.1459123811466252,-0.0876535622554887,0.22367249126371697,0.7894736842105263,0.14537361623907066,0.04520006794587447,288,0.056203347623087485,0.0225
MARGIN_M2,6,MID,256,0.04199374055956426,0.05357085624930158,-0.08125861132421858,0.145648232220158,0.74609375,0.10664084792253013,0.04520006794587447,288,-0.003206327386310215,
MARGIN_M2,6,HIGH,13,0.026196699181009257,0.020293686747492545,-0.030643969577983807,0.09718000642180168,0.6153846153846154,0.052894858806803294,0.04520006794587447,288,-0.019003368764865216,0.522
MARGIN_M2,12,LOW,19,0.22324955386036457,0.2345419048834072,0.06595957748309184,0.3820661607829107,0.8947368421052632,0.17000789025516946,0.09705173708639311,282,0.12619781677397146,0.0
MARGIN_M2,12,MID,256,0.09165872458835028,0.11934052397758521,-0.09332144436713896,0.2455571900776944,0.8125,0.150613414379512,0.09705173708639311,282,-0.005393012498042832,
MARGIN_M2,12,HIGH,7,-0.04825502280024855,-0.0623725984962068,-0.13689331577590613,0.05535855834842146,0.2857142857142857,0.08973533496503282,0.09705173708639311,282,-0.14530675988664166,0.0155
MCAP_M2,3,LOW,3,0.15313983395800204,0.15221779606988894,0.07590294062369277,0.23074554244755657,1.0,0.09677992034727656,0.023975921557959492,387,0.12916391240004255,
MCAP_M2,3,MID,285,0.017904496247584747,0.025370185087604025,-0.08517038382374169,0.10146271096084368,0.6666666666666666,0.07545609381275675,0.023975921557959492,387,-0.006071425310374745,
MCAP_M2,3,HIGH,99,0.037540209196915794,0.0396510076683223,-0.04464731382628229,0.10279380469364599,0.7373737373737373,0.062457855387919134,0.023975921557959492,387,0.013564287638956302,0.033
MCAP_M2,6,LOW,3,0.3029920173911111,0.3248774393370042,0.22151152180019235,0.37571834420367256,1.0,0.09822520704948044,0.0493585732474535,384,0.25363344414365757,
MCAP_M2,6,MID,285,0.03720846032829026,0.04857536412108976,-0.09419524100743328,0.15653482625555276,0.712280701754386,0.10882286536361616,0.0493585732474535,384,-0.012150112919163236,
MCAP_M2,6,HIGH,96,0.07750317584673007,0.09421631493938576,-0.04336075817707391,0.16834068857699236,0.8020833333333334,0.08920887487924054,0.0493585732474535,384,0.02814460259927657,0.0035
MCAP_M2,12,LOW,3,0.422829013964801,0.4656899756446875,0.333356902251711,0.49515674100593643,1.0,0.10772205795300233,0.10275924248781748,378,0.3200697714769835,
MCAP_M2,12,MID,285,0.0835814822145672,0.11245256842054596,-0.1443775477098552,0.2634886704247823,0.7614035087719299,0.16245601732698442,0.10275924248781748,378,-0.019177760273250286,
MCAP_M2,12,HIGH,90,0.15281982430387728,0.17521713781233084,-0.09344599269282856,0.3058520822284116,0.8444444444444444,0.1540636002548977,0.10275924248781748,378,0.050060581816059796,0.001
NDX_SPX_RS,3,LOW,28,-0.003585961611782631,0.001000110208887739,-0.13085201835589919,0.09970553780591325,0.5,0.09045640791837233,0.024196621442898535,423,-0.027782583054681165,0.03
NDX_SPX_RS,3,MID,354,0.022956796056076294,0.03009972523992599,-0.062450936484820016,0.09842973538283221,0.7033898305084746,0.06716008364830534,0.024196621442898535,423,-0.0012398253868222409,
NDX_SPX_RS,3,HIGH,41,0.05387492662499963,0.04157171550086236,-0.02173742463673689,0.15221779606988894,0.7804878048780488,0.0821970327840311,0.024196621442898535,423,0.029678305182101097,0.0075
NDX_SPX_RS,6,LOW,28,-0.015040869896263616,-0.03432674765002752,-0.13366237980808912,0.14147669863286028,0.4642857142857143,0.10650028962471542,0.048687425794472036,420,-0.06372829569073565,0.001
NDX_SPX_RS,6,MID,351,0.04954592007845972,0.053858904925705886,-0.06291253342957315,0.15730978547537333,0.7578347578347578,0.0971116908647784,0.048687425794472036,420,0.0008584942839876819,
NDX_SPX_RS,6,HIGH,41,0.08485964007888477,0.07811430966882482,-0.0414191755590233,0.2648548025733177,0.8536585365853658,0.13583532003886037,0.048687425794472036,420,0.03617221428441274,0.0225
NDX_SPX_RS,12,LOW,28,0.007692709556174079,-0.013314759324425496,-0.19935057906820725,0.23793467761047887,0.4642857142857143,0.18400767595230405,0.10025127404110346,414,-0.09255856448492937,0.0005
NDX_SPX_RS,12,MID,345,0.10259078807050574,0.11952856281464053,-0.08691687400870532,0.27276026837957623,0.8202898550724638,0.1481138248648344,0.10025127404110346,414,0.002339514029402287,
NDX_SPX_RS,12,HIGH,41,0.1437758463687678,0.14940057590050437,-0.10139184665858436,0.380972956881811,0.8048780487804879,0.20180142934331502,0.10025127404110346,414,0.04352457232766435,0.063
NET_LIQUIDITY,3,LOW,0,,,,,,,0.03321079941803852,116,,
NET_LIQUIDITY,3,MID,86,0.0288318224213004,0.03463919234180457,-0.05074363540318377,0.09479393597058128,0.7325581395348837,0.06110027383860574,0.03321079941803852,116,-0.004378976996738119,
NET_LIQUIDITY,3,HIGH,30,0.045763866808687756,0.05176668508495941,-0.050048530374078845,0.12672881861998914,0.7333333333333333,0.07948208921843924,0.03321079941803852,116,0.012553067390649236,0.2325
NET_LIQUIDITY,6,LOW,0,,,,,,,0.06764396735069335,113,,
NET_LIQUIDITY,6,MID,83,0.06495497350462985,0.07178043306959614,-0.02707575702370983,0.14580135743737527,0.8072289156626506,0.07107709291023899,0.06764396735069335,113,-0.0026889938460634977,
