signal,zone,n,dd_mean,dd_median,dd_p10,dd_p50,dd_p90,p_dd_below_10,p_dd_below_20,p_dd_below_30,median_to_trough_m,median_to_recover_m,fwd_h_mean,cvar_10
MARGIN_M2,LOW,19,-3.8198514782301576,-1.700360825687175,-17.830247945439982,-1.700360825687175,8.191617814309042,36.84210526315789,5.263157894736842,0.0,1.0,2.0,38.49888517031994,19.484266770802478
MARGIN_M2,MID,256,-7.546851946576521,-2.7807192825142546,-24.207475902077697,-2.7807192825142546,3.4435019514992726,26.171875,13.28125,7.8125,3.0,1.0,19.597600446560342,-2.0455618009404275
MARGIN_M2,HIGH,18,-10.560543728499326,-4.886871218789363,-49.97236601199462,-4.886871218789363,2.812330104936921,22.22222222222222,16.666666666666664,16.666666666666664,5.5,1.0,-7.622999928426963,
MARGIN_M2,FULL,293,-7.490310797006656,-3.1298019479343964,-24.260117945340443,-3.1298019479343964,3.66331332079438,26.621160409556317,12.969283276450511,7.849829351535837,3.0,1.0,20.22197158406598,-2.133719347893873
NDX_SPX_RS,LOW,28,-17.071659468190678,-18.00188837540962,-38.07424967117792,-18.00188837540962,1.6273302079865364,60.71428571428571,46.42857142857143,25.0,8.5,1.0,7.230610872287849,-32.52175629004759
NDX_SPX_RS,MID,356,-6.81426667626443,-2.6530697915381762,-22.606809531289557,-2.6530697915381762,3.6030936027732774,23.595505617977526,11.797752808988763,7.584269662921349,3.0,1.0,22.035846781986308,-6.9885297727003675
NDX_SPX_RS,HIGH,41,-6.92632314589633,-1.0820312204534277,-28.98752173162754,-1.0820312204534277,6.728117681278056,34.146341463414636,21.951219512195124,7.317073170731707,2.0,0.0,21.388763055265876,-21.85945509241535
NDX_SPX_RS,FULL,425,-7.5008580019793545,-2.6564273840295027,-28.40227031721792,-2.6564273840295027,3.8249007920144,27.058823529411764,15.058823529411763,8.705882352941176,3.0,1.0,20.938640219132843,-18.1778355393588
SOX_SPX_RS,LOW,9,-24.908793242363565,-21.6784756865532,-43.01994039024804,-21.6784756865532,-8.622166266986344,88.88888888888889,55.55555555555556,44.44444444444444,12.0,2.0,-4.861244426746699,
SOX_SPX_RS,MID,295,-9.193856224429677,-4.159988720178342,-33.12365903481715,-4.159988720178342,3.4189951379859322,31.52542372881356,18.64406779661017,10.847457627118644,4.0,1.0,16.638236669353237,-20.84392440243718
SOX_SPX_RS,HIGH,18,-7.150277194201879,-4.618533846478545,-26.245570309041266,-4.618533846478545,5.58536555804119,33.33333333333333,22.22222222222222,5.555555555555555,3.0,0.0,16.881034857841726,-22.99187774784088
SOX_SPX_RS,FULL,322,-9.518856257402671,-4.4074002502767495,-34.16486603756373,-4.4074002502767495,3.4622844929465186,33.22981366459628,19.875776397515526,11.490683229813664,4.0,1.0,16.00083950680127,-22.44802787385584
RUT_SPX_RS,LOW,35,-3.8704525203227056,-0.18402850382522873,-19.724663430666094,-0.18402850382522873,7.457298291660075,28.57142857142857,11.428571428571429,0.0,2.0,0.0,31.96525715522639,-0.2912360340650099
RUT_SPX_RS,MID,342,-7.89777367774899,-3.2113220151244573,-29.130932851242303,-3.2113220151244573,3.4622844929465186,27.485380116959064,14.912280701754385,9.35672514619883,3.0,1.0,21.41081586306015,-19.413043651703006
RUT_SPX_RS,HIGH,25,-13.732765945581251,-5.917630923348238,-35.884800105078575,-5.917630923348238,0.6513734714376087,44.0,36.0,20.0,6.0,1.0,4.992500475114063,-18.98336739354007
RUT_SPX_RS,FULL,402,-7.9100089170173655,-3.1620948702120897,-28.983251653581515,-3.1620948702120897,3.674620823273684,28.60696517412935,15.92039800995025,9.203980099502488,3.0,1.0,21.218953690634468,-18.868843473677874
COMPOSITE,LOW,14,1.92155161385504,1.6515369088202614,-7.503844437425244,1.6515369088202614,9.13688940023812,7.142857142857142,0.0,0.0,1.0,0.0,41.620648316896194,8.393896398345925
COMPOSITE,MID,324,-7.762761459366771,-3.5105879803453863,-25.26226539760818,-3.5105879803453863,3.570689056114377,29.629629629629626,14.19753086419753,7.098765432098765,3.0,1.0,20.722456075957883,-13.614964568642396
COMPOSITE,HIGH,28,-23.89472711152952,-30.84482493919302,-43.59955775334353,-30.84482493919302,-1.9788129796406566,64.28571428571429,64.28571428571429,50.0,12.0,1.0,-13.237716251827536,-37.14363008236723
COMPOSITE,FULL,366,-8.62646270317948,-3.829524401499379,-30.13773474147617,-3.829524401499379,4.034072185475502,31.420765027322407,17.48633879781421,10.10928961748634,4.0,1.0,19.298230792675287,-20.222114431451654
YIELD_CURVE_36M,LOW,93,-16.627775358631926,-10.543734946824312,-46.01935519207886,-10.543734946824312,3.2286472342740153,50.53763440860215,30.107526881720432,30.107526881720432,10.0,1.0,14.763408336719772,-30.75162101837405
YIELD_CURVE_36M,MID,341,-7.561896874911637,-3.4477697375220218,-28.202584160050193,-3.4477697375220218,3.972933268934309,26.68621700879765,15.835777126099707,8.797653958944283,3.0,1.0,36.584838663923854,-3.7801119594100383
YIELD_CURVE_36M,HIGH,43,-6.379316732157384,-1.7358833150663777,-24.15645014893168,-1.7358833150663777,2.7095702800112798,27.906976744186046,13.953488372093023,0.0,3.0,1.0,29.620126077859133,9.332965080220307
YIELD_CURVE_36M,FULL,477,-9.222852331615107,-4.019111659319396,-36.65477398845381,-4.019111659319396,3.602229361876082,31.446540880503143,18.448637316561843,12.159329140461216,4.0,1.0,32.253914488779316,-17.99505490442769
