date,signal,value
1961-01-31,M2_GROWTH,5.33199195171028
1961-02-28,M2_GROWTH,6.0656836461126185
1961-03-31,M2_GROWTH,6.34814567323756
1961-04-30,M2_GROWTH,6.597800733088954
1961-05-31,M2_GROWTH,7.078763708873392
1961-06-30,M2_GROWTH,7.277538868673505
1961-07-31,M2_GROWTH,7.070042749095684
1961-08-31,M2_GROWTH,6.744868035190632
1961-09-30,M2_GROWTH,6.841763942931256
1961-10-31,M2_GROWTH,6.97899838449112
1961-11-30,M2_GROWTH,7.2370537150209024
1961-12-31,M2_GROWTH,7.3943661971831
1962-01-31,M2_GROWTH,7.44985673352434
1962-02-28,M2_GROWTH,7.456556082148502
1962-03-31,M2_GROWTH,7.791391768771594
1962-04-30,M2_GROWTH,8.002500781494227
1962-05-31,M2_GROWTH,7.852265673494729
1962-06-30,M2_GROWTH,7.70891150169597
1962-07-31,M2_GROWTH,7.739557739557745
1962-08-31,M2_GROWTH,7.692307692307687
1962-09-30,M2_GROWTH,7.708649468892248
1962-10-31,M2_GROWTH,7.88281485955904
1962-11-30,M2_GROWTH,7.918416316736665
1962-12-31,M2_GROWTH,8.107302533532046
1963-01-31,M2_GROWTH,8.207407407407397
1963-02-28,M2_GROWTH,8.174066451043792
1963-03-31,M2_GROWTH,8.044301952783428
1963-04-30,M2_GROWTH,8.046309696092614
1963-05-31,M2_GROWTH,8.230215827338139
1963-06-30,M2_GROWTH,8.330947609504724
1963-07-31,M2_GROWTH,8.637400228050174
1963-08-31,M2_GROWTH,8.730158730158744
1963-09-30,M2_GROWTH,8.763031839954927
1963-10-31,M2_GROWTH,8.706606942889138
1963-11-30,M2_GROWTH,8.810450250138956
1963-12-31,M2_GROWTH,8.409153570443895
1964-01-31,M2_GROWTH,8.214676889375694
1964-02-29,M2_GROWTH,8.072845882033164
1964-03-31,M2_GROWTH,7.8500134879956995
1964-04-30,M2_GROWTH,7.607822126975616
1964-05-31,M2_GROWTH,7.471417176282902
1964-06-30,M2_GROWTH,7.584566596194509
1964-07-31,M2_GROWTH,7.609551298871686
1964-08-31,M2_GROWTH,7.76850886339937
1964-09-30,M2_GROWTH,8.005181347150248
1964-10-31,M2_GROWTH,7.932011331444766
1964-11-30,M2_GROWTH,7.790549169859506
1964-12-31,M2_GROWTH,8.011190233977628
1965-01-31,M2_GROWTH,8.173076923076916
1965-02-28,M2_GROWTH,8.249496981891348
1965-03-31,M2_GROWTH,8.354177088544269
1965-04-30,M2_GROWTH,8.389345282549154
1965-05-31,M2_GROWTH,8.139534883720945
1965-06-30,M2_GROWTH,8.106116433308763
1965-07-31,M2_GROWTH,7.9980492562789385
1965-08-31,M2_GROWTH,7.8374455732946435
1965-09-30,M2_GROWTH,7.819621012233147
1965-10-31,M2_GROWTH,7.9933190169410695
1965-11-30,M2_GROWTH,7.9857819905213345
1965-12-31,M2_GROWTH,8.123381210266079
1966-01-31,M2_GROWTH,8.070175438596493
1966-02-28,M2_GROWTH,7.946096654275103
1966-03-31,M2_GROWTH,7.848568790397037
1966-04-30,M2_GROWTH,7.785943959577413
1966-05-31,M2_GROWTH,7.549759780370624
1966-06-30,M2_GROWTH,7.06657577823222
1966-07-31,M2_GROWTH,6.321968841725001
1966-08-31,M2_GROWTH,6.011664423508312
1966-09-30,M2_GROWTH,5.761957730812006
1966-10-31,M2_GROWTH,5.103844454264239
1966-11-30,M2_GROWTH,4.739960500329166
1966-12-31,M2_GROWTH,4.57317073170731
1967-01-31,M2_GROWTH,4.2424242424242475
1967-02-28,M2_GROWTH,4.412397761515274
1967-03-31,M2_GROWTH,4.815924657534243
1967-04-30,M2_GROWTH,4.858299595141702
1967-05-31,M2_GROWTH,5.764730908317373
1967-06-30,M2_GROWTH,6.536502546689316
1967-07-31,M2_GROWTH,7.51751964323637
1967-08-31,M2_GROWTH,8.082945408379171
1967-09-30,M2_GROWTH,8.266722759781242
1967-10-31,M2_GROWTH,8.934202228295153
1967-11-30,M2_GROWTH,9.197569662685945
1967-12-31,M2_GROWTH,9.287796751353605
1968-01-31,M2_GROWTH,9.509966777408629
1968-02-29,M2_GROWTH,9.338280766852192
1968-03-31,M2_GROWTH,8.8829895854605
1968-04-30,M2_GROWTH,8.85998780735624
1968-05-31,M2_GROWTH,8.386967015285606
1968-06-30,M2_GROWTH,8.08764940239044
1968-07-31,M2_GROWTH,7.762196326288762
1968-08-31,M2_GROWTH,7.55677368833203
1968-09-30,M2_GROWTH,7.557800660578984
1968-10-31,M2_GROWTH,7.603241991509058
1968-11-30,M2_GROWTH,7.90483499616268
1968-12-31,M2_GROWTH,8.00304878048781
1969-01-31,M2_GROWTH,7.9446340538490645
1969-02-28,M2_GROWTH,7.824283559577672
1969-03-31,M2_GROWTH,7.726931732933218
1969-04-30,M2_GROWTH,7.466865783087551
1969-05-31,M2_GROWTH,6.977175728335494
1969-06-30,M2_GROWTH,6.616291927755258
1969-07-31,M2_GROWTH,6.213343108504388
1969-08-31,M2_GROWTH,5.587914088096113
1969-09-30,M2_GROWTH,5.148121387283244
1969-10-31,M2_GROWTH,4.626972740315627
1969-11-30,M2_GROWTH,4.089615931721191
1969-12-31,M2_GROWTH,3.7226534932957023
1970-01-31,M2_GROWTH,3.5657825399613596
1970-02-28,M2_GROWTH,2.517922713761145
1970-03-31,M2_GROWTH,2.2458217270195036
1970-04-30,M2_GROWTH,2.2060100746916778
1970-05-31,M2_GROWTH,2.601908065915004
1970-06-30,M2_GROWTH,2.886776145203118
1970-07-31,M2_GROWTH,3.3822260569456475
1970-08-31,M2_GROWTH,4.275124978451994
1970-09-30,M2_GROWTH,4.99914104105823
1970-10-31,M2_GROWTH,5.656496400411393
1970-11-30,M2_GROWTH,6.098394260334827
1970-12-31,M2_GROWTH,6.565742473209735
1971-01-31,M2_GROWTH,7.343962008141114
1971-02-28,M2_GROWTH,9.329694695548362
1971-03-31,M2_GROWTH,10.65894772688576
1971-04-30,M2_GROWTH,11.896668932698852
1971-05-31,M2_GROWTH,12.713440405748111
1971-06-30,M2_GROWTH,13.071236559139777
1971-07-31,M2_GROWTH,13.436821899515937
1971-08-31,M2_GROWTH,13.324516448999834
1971-09-30,M2_GROWTH,13.301701570680624
1971-10-31,M2_GROWTH,13.303049967553537
1971-11-30,M2_GROWTH,13.443889872806313
1971-12-31,M2_GROWTH,13.375897845171592
1972-01-31,M2_GROWTH,13.39864117554117
