signal,zone,decade,n_decade_total,n_zone,zone_mean,decade_baseline,effect_pp
M2_GROWTH,LOW,1980s,60,20,0.06419209356524114,0.13147948703697243,-6.728739347173129
M2_GROWTH,HIGH,1980s,60,0,,0.13147948703697243,
M2_GROWTH,LOW,1990s,120,57,0.12403407892965973,0.16170950261021722,-3.7675423680557483
M2_GROWTH,HIGH,1990s,120,0,,0.16170950261021722,
M2_GROWTH,LOW,2000s,120,0,,-0.0025777138127298206,
M2_GROWTH,HIGH,2000s,120,0,,-0.0025777138127298206,
M2_GROWTH,LOW,2010s,120,11,0.16204131880537984,0.11312363121025543,4.891768759512441
M2_GROWTH,HIGH,2010s,120,0,,0.11312363121025543,
M2_GROWTH,LOW,2020s,65,25,0.20405743707128982,0.15963627168128428,4.442116539000554
M2_GROWTH,HIGH,2020s,65,21,0.12379561440945264,0.15963627168128428,-3.5840657271831637
MARGIN_M2,LOW,2000s,97,18,0.22219091752059042,0.035230891276790986,18.696002624379943
MARGIN_M2,HIGH,2000s,97,3,-0.12092265011718024,0.035230891276790986,-15.615354139397123
MARGIN_M2,LOW,2010s,120,0,,0.11312363121025543,
MARGIN_M2,HIGH,2010s,120,4,0.00624569768745023,0.11312363121025543,-10.68779335228052
MARGIN_M2,LOW,2020s,65,1,0.24230500797629895,0.15963627168128428,8.266873629501466
MARGIN_M2,HIGH,2020s,65,0,,0.15963627168128428,
MCAP_M2,LOW,1990s,73,0,,0.2082346015535406,
MCAP_M2,HIGH,1990s,73,62,0.19974498264443022,0.2082346015535406,-0.8489618909110375
MCAP_M2,LOW,2000s,120,3,0.422829013964801,-0.0025777138127298206,42.54067277775308
MCAP_M2,HIGH,2000s,120,10,-0.16932015526678962,-0.0025777138127298206,-16.674244145405982
MCAP_M2,LOW,2010s,120,0,,0.11312363121025543,
MCAP_M2,HIGH,2010s,120,0,,0.11312363121025543,
MCAP_M2,LOW,2020s,65,0,,0.15963627168128428,
MCAP_M2,HIGH,2020s,65,18,0.17015537867012098,0.15963627168128428,1.0519106988836708
NDX_SPX_RS,LOW,1990s,109,8,0.1849698974240002,0.1638730248259659,2.1096872598034278
NDX_SPX_RS,HIGH,1990s,109,25,0.13675123544742032,0.1638730248259659,-2.712178937854559
NDX_SPX_RS,LOW,2000s,120,17,-0.09353099886177096,-0.0025777138127298206,-9.095328504904113
NDX_SPX_RS,HIGH,2000s,120,10,0.028894276425430333,-0.0025777138127298206,3.1471990238160155
NDX_SPX_RS,LOW,2010s,120,0,,0.11312363121025543,
NDX_SPX_RS,HIGH,2010s,120,0,,0.11312363121025543,
NDX_SPX_RS,LOW,2020s,65,3,0.108554556276993,0.15963627168128428,-5.108171540429128
NDX_SPX_RS,HIGH,2020s,65,6,0.36451434177994474,0.15963627168128428,20.487807009866046
NET_LIQUIDITY,LOW,2010s,42,0,,0.10579428285943028,
NET_LIQUIDITY,HIGH,2010s,42,0,,0.10579428285943028,
NET_LIQUIDITY,LOW,2020s,65,0,,0.15963627168128428,
NET_LIQUIDITY,HIGH,2020s,65,30,0.12933949557692884,0.15963627168128428,-3.029677610435544
RUT_SPX_RS,LOW,1990s,86,11,0.30396532272252,0.18085531283733222,12.31100098851878
RUT_SPX_RS,HIGH,1990s,86,6,0.12076521858461493,0.18085531283733222,-6.009009425271729
RUT_SPX_RS,LOW,2000s,120,3,0.06426650295051595,-0.0025777138127298206,6.684421676324577
RUT_SPX_RS,HIGH,2000s,120,13,-0.07726698358283714,-0.0025777138127298206,-7.468926977010732
RUT_SPX_RS,LOW,2010s,120,7,0.15893754844146196,0.11312363121025543,4.581391723120653
RUT_SPX_RS,HIGH,2010s,120,2,0.08319144275774393,0.11312363121025543,-2.9932188452511497
RUT_SPX_RS,LOW,2020s,65,14,0.16257544327125123,0.15963627168128428,0.29391715899669546
RUT_SPX_RS,HIGH,2020s,65,4,0.22334277244545753,0.15963627168128428,6.370650076417325
SOX_SPX_RS,LOW,1990s,6,0,,0.04004650137535637,
SOX_SPX_RS,HIGH,1990s,6,2,0.11312448100935424,0.04004650137535637,7.307797963399787
SOX_SPX_RS,LOW,2000s,120,8,-0.10542810909621932,-0.0025777138127298206,-10.28503952834895
SOX_SPX_RS,HIGH,2000s,120,6,0.08163155030297646,-0.0025777138127298206,8.420926411570628
SOX_SPX_RS,LOW,2010s,120,0,,0.11312363121025543,
SOX_SPX_RS,HIGH,2010s,120,0,,0.11312363121025543,
SOX_SPX_RS,LOW,2020s,65,1,0.08311505375598305,0.15963627168128428,-7.652121792530123
SOX_SPX_RS,HIGH,2020s,65,4,0.22931784634994756,0.15963627168128428,6.968157466866328
