signal,zone,n,mean_pp,full_mean_pp,effect_pp,p_value,n_decades_observed,n_decades_same_sign,n_decades_opposite,decade_detail,class,threshold
M2_GROWTH,LOW,113,13.48466796808571,10.502222120088858,2.9824458479968508,0.022,4,2,2,"1980s:N=20,eff=-6.7pp; 1990s:N=57,eff=-3.8pp; 2010s:N=11,eff=+4.9pp; 2020s:N=25,eff=+4.4pp",REGIME-DEPENDENT,decile
M2_GROWTH,HIGH,21,12.379561440945263,10.502222120088858,1.8773393208564055,0.5855,1,0,1,"2020s:N=21,eff=-3.6pp",INSUFFICIENT (one decade),decile
MARGIN_M2,LOW,19,22.324955386036457,9.705173708639311,12.619781677397146,0.001,2,2,0,"2000s:N=18,eff=+18.7pp; 2020s:N=1,eff=+8.3pp",MOSTLY,decile
MARGIN_M2,HIGH,7,-4.825502280024855,9.705173708639311,-14.530675988664166,0.0145,2,2,0,"2000s:N=3,eff=-15.6pp; 2010s:N=4,eff=-10.7pp",MOSTLY,decile
MCAP_M2,LOW,3,42.2829013964801,10.275924248781749,32.00697714769835,,1,1,0,"2000s:N=3,eff=+42.5pp",INSUFFICIENT,decile
MCAP_M2,HIGH,90,15.281982430387728,10.275924248781749,5.0060581816059795,0.003,3,0,1,"1990s:N=62,eff=-0.8pp; 2000s:N=10,eff=-16.7pp; 2020s:N=18,eff=+1.1pp",FAILED,decile
NDX_SPX_RS,LOW,28,0.7692709556174079,10.025127404110346,-9.255856448492937,0.0025,3,2,1,"1990s:N=8,eff=+2.1pp; 2000s:N=17,eff=-9.1pp; 2020s:N=3,eff=-5.1pp",REGIME-DEPENDENT (lean),decile
NDX_SPX_RS,HIGH,41,14.377584636876781,10.025127404110346,4.352457232766435,0.0765,3,2,1,"1990s:N=25,eff=-2.7pp; 2000s:N=10,eff=+3.1pp; 2020s:N=6,eff=+20.5pp",REGIME-DEPENDENT (lean),decile
NET_LIQUIDITY,LOW,0,,13.850203307831354,,,0,0,0,,INSUFFICIENT,decile
NET_LIQUIDITY,HIGH,30,12.933949557692884,13.850203307831354,-0.916253750138471,0.66,1,1,0,"2020s:N=30,eff=-3.0pp",INSUFFICIENT (one decade),decile
RUT_SPX_RS,LOW,35,19.785820296248627,10.024405281584944,9.761415014663683,0.0,4,3,0,"1990s:N=11,eff=+12.3pp; 2000s:N=3,eff=+6.7pp; 2010s:N=7,eff=+4.6pp; 2020s:N=14,eff=+0.3pp",DURABLE,decile
RUT_SPX_RS,HIGH,25,3.1194980009124986,10.024405281584944,-6.904907280672444,0.0245,4,3,1,"1990s:N=6,eff=-6.0pp; 2000s:N=13,eff=-7.5pp; 2010s:N=2,eff=-3.0pp; 2020s:N=4,eff=+6.4pp",REGIME-DEPENDENT (lean),decile
