variable,level_1,period,mult,smoothing,flip_count,avg_lag,lag_2020,lag_2022,score
WALCL,3,10,2.5,raw,10,23.226018396846257,37.483574244415244,8.968462549277266,-27.226018396846257
WALCL,15,15,2.5,raw,10,23.718791064388963,37.483574244415244,9.95400788436268,-27.718791064388963
WALCL,12,15,2.0,raw,12,23.226018396846257,37.483574244415244,8.968462549277266,-28.026018396846258
WALCL,0,10,2.0,raw,12,23.226018396846257,37.483574244415244,8.968462549277266,-28.026018396846258
WALCL,24,20,2.0,raw,12,23.226018396846257,37.483574244415244,8.968462549277266,-28.026018396846258
WALCL,43,24,3.0,ma3,4,35.486202365308806,60.0,10.972404730617608,-37.08620236530881
WALCL,6,10,3.0,raw,6,34.97700394218134,60.0,9.95400788436268,-37.37700394218134
WALCL,9,10,4.0,raw,6,34.97700394218134,60.0,9.95400788436268,-37.37700394218134
WALCL,31,20,3.0,ma3,5,35.486202365308806,60.0,10.972404730617608,-37.486202365308806
WALCL,41,24,2.5,ma6,4,35.99540078843627,60.0,11.990801576872535,-37.59540078843627
WALCL,46,24,4.0,ma3,4,35.99540078843627,60.0,11.990801576872535,-37.59540078843627
WALCL,11,10,4.0,ma6,3,36.45532194480946,60.0,12.910643889618921,-37.655321944809465
WALCL,19,15,3.0,ma3,6,35.486202365308806,60.0,10.972404730617608,-37.886202365308804
WALCL,16,15,2.5,ma3,6,35.486202365308806,60.0,10.972404730617608,-37.886202365308804
WALCL,21,15,4.0,raw,6,35.486202365308806,60.0,10.972404730617608,-37.886202365308804
WALCL,10,10,4.0,ma3,6,35.486202365308806,60.0,10.972404730617608,-37.886202365308804
WALCL,40,24,2.5,ma3,6,35.486202365308806,60.0,10.972404730617608,-37.886202365308804
WALCL,17,15,2.5,ma6,5,35.99540078843627,60.0,11.990801576872535,-37.99540078843627
WALCL,45,24,4.0,raw,5,35.99540078843627,60.0,11.990801576872535,-37.99540078843627
WALCL,33,20,4.0,raw,5,35.99540078843627,60.0,11.990801576872535,-37.99540078843627
WALCL,22,15,4.0,ma3,5,35.99540078843627,60.0,11.990801576872535,-37.99540078843627
WALCL,14,15,2.0,ma6,5,35.99540078843627,60.0,11.990801576872535,-37.99540078843627
WALCL,44,24,3.0,ma6,4,36.45532194480946,60.0,12.910643889618921,-38.055321944809464
WALCL,1,10,2.0,ma3,8,34.97700394218134,60.0,9.95400788436268,-38.177003942181344
WALCL,42,24,3.0,raw,8,34.97700394218134,60.0,9.95400788436268,-38.177003942181344
WALCL,39,24,2.5,raw,8,34.97700394218134,60.0,9.95400788436268,-38.177003942181344
WALCL,25,20,2.0,ma3,8,34.97700394218134,60.0,9.95400788436268,-38.177003942181344
WALCL,18,15,3.0,raw,8,34.97700394218134,60.0,9.95400788436268,-38.177003942181344
WALCL,4,10,2.5,ma3,8,34.97700394218134,60.0,9.95400788436268,-38.177003942181344
WALCL,13,15,2.0,ma3,8,34.97700394218134,60.0,9.95400788436268,-38.177003942181344
WALCL,30,20,3.0,raw,8,34.97700394218134,60.0,9.95400788436268,-38.177003942181344
WALCL,5,10,2.5,ma6,7,35.486202365308806,60.0,10.972404730617608,-38.2862023653088
WALCL,26,20,2.0,ma6,6,35.99540078843627,60.0,11.990801576872535,-38.39540078843627
WALCL,29,20,2.5,ma6,6,35.99540078843627,60.0,11.990801576872535,-38.39540078843627
WALCL,38,24,2.0,ma6,6,35.99540078843627,60.0,11.990801576872535,-38.39540078843627
WALCL,34,20,4.0,ma3,5,36.45532194480946,60.0,12.910643889618921,-38.45532194480946
WALCL,20,15,3.0,ma6,5,36.45532194480946,60.0,12.910643889618921,-38.45532194480946
WALCL,28,20,2.5,ma3,8,35.486202365308806,60.0,10.972404730617608,-38.68620236530881
WALCL,2,10,2.0,ma6,8,35.486202365308806,60.0,10.972404730617608,-38.68620236530881
WALCL,7,10,3.0,ma3,8,35.486202365308806,60.0,10.972404730617608,-38.68620236530881
WALCL,8,10,3.0,ma6,7,35.99540078843627,60.0,11.990801576872535,-38.79540078843627
WALCL,32,20,3.0,ma6,6,36.45532194480946,60.0,12.910643889618921,-38.85532194480946
WALCL,23,15,4.0,ma6,5,36.96452036793693,60.0,13.92904073587385,-38.96452036793693
WALCL,27,20,2.5,raw,10,34.97700394218134,60.0,9.95400788436268,-38.97700394218134
WALCL,47,24,4.0,ma6,4,37.45729303547963,60.0,14.914586070959263,-39.05729303547963
WALCL,36,24,2.0,raw,12,34.48423127463863,60.0,8.968462549277266,-39.28423127463863
WALCL,37,24,2.0,ma3,11,34.97700394218134,60.0,9.95400788436268,-39.37700394218134
WALCL,35,20,4.0,ma6,6,37.45729303547963,60.0,14.914586070959263,-39.85729303547963
NETLIQ,9,10,4.0,raw,8,1.7247043363994743,0.5256241787122208,2.923784494086728,-4.924704336399475
NETLIQ,21,15,4.0,raw,8,1.7247043363994743,0.5256241787122208,2.923784494086728,-4.924704336399475
NETLIQ,35,20,4.0,ma6,8,2.726675427069645,0.5256241787122208,4.92772667542707,-5.926675427069645
NETLIQ,47,24,4.0,ma6,8,3.235873850197109,0.5256241787122208,5.946123521681997,-6.435873850197109
NETLIQ,23,15,4.0,ma6,10,2.726675427069645,0.5256241787122208,4.92772667542707,-6.726675427069646
NETLIQ,11,10,4.0,ma6,10,2.726675427069645,0.5256241787122208,4.92772667542707,-6.726675427069646
NETLIQ,36,24,2.0,raw,13,4.730617608409987,8.541392904073588,0.9198423127463863,-9.930617608409987
NETLIQ,24,20,2.0,raw,15,4.730617608409987,8.541392904073588,0.9198423127463863,-10.730617608409986
NETLIQ,12,15,2.0,raw,15,4.779894875164257,9.559789750328514,0.0,-10.779894875164256
NETLIQ,42,24,3.0,raw,11,6.750985545335085,9.559789750328514,3.9421813403416555,-11.150985545335086
NETLIQ,27,20,2.5,raw,15,5.23981603153745,9.559789750328514,0.9198423127463863,-11.239816031537451
NETLIQ,39,24,2.5,raw,13,6.241787122207621,9.559789750328514,2.923784494086728,-11.441787122207622
NETLIQ,37,24,2.0,ma3,13,6.241787122207621,9.559789750328514,2.923784494086728,-11.441787122207622
NETLIQ,25,20,2.0,ma3,15,5.7490144546649145,9.559789750328514,1.938239159001314,-11.749014454664914
NETLIQ,3,10,2.5,raw,12,19.201708278580817,37.483574244415244,0.9198423127463863,-24.001708278580818
NETLIQ,0,10,2.0,raw,17,18.708935611038108,36.498028909329825,0.9198423127463863,-25.50893561103811
NETLIQ,4,10,2.5,ma3,15,20.22010512483574,38.50197109067017,1.938239159001314,-26.22010512483574
NETLIQ,1,10,2.0,ma3,15,20.22010512483574,38.50197109067017,1.938239159001314,-26.22010512483574
NETLIQ,13,15,2.0,ma3,15,20.22010512483574,38.50197109067017,1.938239159001314,-26.22010512483574
NETLIQ,30,20,3.0,raw,10,23.226018396846257,45.532194480946124,0.9198423127463863,-27.226018396846257
NETLIQ,18,15,3.0,raw,10,23.226018396846257,45.532194480946124,0.9198423127463863,-27.226018396846257
NETLIQ,6,10,3.0,raw,10,23.226018396846257,45.532194480946124,0.9198423127463863,-27.226018396846257
NETLIQ,15,15,2.5,raw,13,23.226018396846257,45.532194480946124,0.9198423127463863,-28.426018396846256
NETLIQ,22,15,4.0,ma3,8,25.24638633377135,46.55059132720105,3.9421813403416555,-28.44638633377135
NETLIQ,34,20,4.0,ma3,8,25.7227332457293,47.50328515111695,3.9421813403416555,-28.9227332457293
NETLIQ,16,15,2.5,ma3,13,23.73521681997372,45.532194480946124,1.938239159001314,-28.935216819973718
NETLIQ,7,10,3.0,ma3,12,24.227989487516425,45.532194480946124,2.923784494086728,-29.027989487516425
NETLIQ,28,20,2.5,ma3,11,24.737187910643886,46.55059132720105,2.923784494086728,-29.13718791064389
NETLIQ,5,10,2.5,ma6,10,25.24638633377135,46.55059132720105,3.9421813403416555,-29.24638633377135
NETLIQ,26,20,2.0,ma6,10,25.24638633377135,46.55059132720105,3.9421813403416555,-29.24638633377135
NETLIQ,14,15,2.0,ma6,10,25.24638633377135,46.55059132720105,3.9421813403416555,-29.24638633377135
NETLIQ,46,24,4.0,ma3,8,26.215505913272008,47.50328515111695,4.92772667542707,-29.415505913272007
NETLIQ,19,15,3.0,ma3,13,24.227989487516425,45.532194480946124,2.923784494086728,-29.427989487516424
NETLIQ,43,24,3.0,ma3,11,25.24638633377135,46.55059132720105,3.9421813403416555,-29.646386333771353
NETLIQ,31,20,3.0,ma3,11,25.24638633377135,46.55059132720105,3.9421813403416555,-29.646386333771353
NETLIQ,40,24,2.5,ma3,11,25.24638633377135,46.55059132720105,3.9421813403416555,-29.646386333771353
NETLIQ,29,20,2.5,ma6,10,25.7227332457293,47.50328515111695,3.9421813403416555,-29.7227332457293
NETLIQ,20,15,3.0,ma6,10,25.7227332457293,47.50328515111695,3.9421813403416555,-29.7227332457293
NETLIQ,8,10,3.0,ma6,10,25.7227332457293,47.50328515111695,3.9421813403416555,-29.7227332457293
NETLIQ,17,15,2.5,ma6,10,25.7227332457293,47.50328515111695,3.9421813403416555,-29.7227332457293
NETLIQ,38,24,2.0,ma6,10,25.7227332457293,47.50328515111695,3.9421813403416555,-29.7227332457293
NETLIQ,2,10,2.0,ma6,12,25.24638633377135,46.55059132720105,3.9421813403416555,-30.046386333771352
NETLIQ,10,10,4.0,ma3,12,25.24638633377135,46.55059132720105,3.9421813403416555,-30.046386333771352
NETLIQ,32,20,3.0,ma6,10,26.724704336399473,48.52168199737188,4.92772667542707,-30.724704336399473
NETLIQ,44,24,3.0,ma6,10,26.724704336399473,48.52168199737188,4.92772667542707,-30.724704336399473
NETLIQ,41,24,2.5,ma6,10,26.724704336399473,48.52168199737188,4.92772667542707,-30.724704336399473
NETLIQ,33,20,4.0,raw,6,31.971090670170828,60.0,3.9421813403416555,-34.37109067017083
NETLIQ,45,24,4.0,raw,6,31.971090670170828,60.0,3.9421813403416555,-34.37109067017083
M2_LEVEL,0,10,2.0,raw,2,28.23587385019711,47.50328515111695,8.968462549277266,-29.03587385019711
M2_LEVEL,3,10,2.5,raw,2,28.728646517739815,47.50328515111695,9.95400788436268,-29.528646517739816
M2_LEVEL,12,15,2.0,raw,2,28.728646517739815,47.50328515111695,9.95400788436268,-29.528646517739816
M2_LEVEL,24,20,2.0,raw,2,28.728646517739815,47.50328515111695,9.95400788436268,-29.528646517739816
M2_LEVEL,36,24,2.0,raw,2,28.728646517739815,47.50328515111695,9.95400788436268,-29.528646517739816
M2_LEVEL,39,24,2.5,raw,2,29.237844940867276,47.50328515111695,10.972404730617608,-30.037844940867277
